"customer_id","customer_name","sales_region","email","customer_tier","join_date","phone","loyalty_points","subscribed"
"663294","Ahmed Thomas","Southwest","Invalid","Bronze","2018-06-13","+1-324-101-2781",11764,1
"774854","Susan Singh","Northeast","susan.singh150@outlook.com","Bronze","2023-09-10","+1-832-704-0730",7849,""
"692451","Unknown","Unknown","david.lee104@company.com","Bronze","2021-09-28","+1-421-485-3444",14442,1
"996725","Jessica Miller","Northeast","jessica.miller802@yahoo.com","Gold","2019-08-02","Invalid",14616,1
"475863","Zara Anderson","West Coast","Invalid","Silver","2019-11-01","Invalid",2857,1
"427790","Zara Chen","Southeast","Invalid","Platinum","2020-10-31","+1-044-250-5034",13925,1
"914273","John Chen","Northeast","john.chen128@gmail.com","Gold","2023-07-08","+1-579-025-8236",9485,""
"201518","Wei Lee","Northeast","Invalid","Silver","2022-01-13","+1-917-892-5843",513,1
"382815","Lisa Anderson","West Coast","Invalid","Silver","2024-01-22","+1-701-945-4272",12881,1
"859701","James Fernandez","Northeast","james.fernandez509@icloud.com","Silver","2021-03-23","+1-863-999-3746",1344,1
"579820","Fatima Silva","Southwest","Invalid","Silver","2021-11-25","+1-899-266-2327",3598,""
"359512","Mei Kim","Northeast","mei.kim319@mail.com","Bronze","2021-02-27","Invalid",3939,""
"514004","Jennifer Nguyen","Southeast","Invalid","Silver","2019-03-13","+1-993-127-2880",11489,1
"548457","Yuki Rossi","Midwest","yuki.rossi564@hotmail.com","Gold","2023-04-08","+1-474-884-2137",2935,1
"945307","Thomas Jackson","Southeast","Invalid","Bronze","2022-07-01","+1-760-321-6862",12775,1
"138946","Sarah Jackson","West Coast","sarah.jackson787@company.com","Gold","2019-03-27","+1-076-732-5108",13725,1
"184670","Lisa Chen","Northwest","lisa.chen339@hotmail.com","Silver","2020-10-23","+1-068-815-8463",2122,1
"828309","Omar Garcia","Southeast","Invalid","Bronze","2022-10-18","+1-035-559-1369",7231,1
"846906","Raj Chen","Southeast","Invalid","Silver","2021-10-08","+1-404-848-2167",5543,1
"959278","Mei Fernandez","Midwest","Invalid","Silver","2020-04-15","+1-952-921-5597",4229,1
"355438","Mei Garcia","Northeast","Invalid","Silver","2023-10-30","+1-464-004-8914",10937,1
"555169","Thomas Rossi","Midwest","Invalid","Bronze","2019-05-23","+1-833-388-1927",7154,""
"386303","Linda Jackson","Midwest","Invalid","Silver","2022-03-23","Invalid",244,1
"688032","James Moore","Midwest","Invalid","Platinum","2020-08-17","+1-947-231-7426",3175,1
"458501","Yuki Chen","Northeast","yuki.chen703@hotmail.com","Gold","2022-08-19","+1-071-685-3426",524,1
"318422","Yuki Martin","Northeast","yuki.martin699@yahoo.com","Platinum","2019-01-01","+1-522-558-3632",2392,1
"411823","Sarah Singh","Northeast","sarah.singh23@icloud.com","Gold","2018-11-19","+1-481-681-6219",13176,1
"675718","Michael Lopez","International","michael.lopez916@company.com","Bronze","2019-05-27","+1-348-561-8802",6667,1
"845738","Wei Davis","Northwest","Invalid","Bronze","2019-03-15","+1-850-250-4677",14638,1
"884169","Susan Moore","Midwest","Invalid","Bronze","2021-10-09","+1-570-563-1076",538,1
"219303","Elena Anderson","Midwest","Invalid","Gold","2018-01-01","+1-772-931-9291",6810,""
"867430","Sarah Anderson","Southwest","sarah.anderson470@work.org","Bronze","2018-09-24","+1-944-526-0381",8343,""
"865807","Raj Jackson","Northeast","Invalid","Bronze","2021-01-01","Invalid",158,1
"246838","Wei Lopez","Northwest","wei.lopez364@outlook.com","Gold","2023-02-21","+1-617-228-2324",14661,1
"769812","Susan Kim","Midwest","Invalid","Gold","2021-08-27","+1-717-423-5987",2632,""
"724221","Ahmed Silva","Northeast","ahmed.silva479@work.org","Silver","2020-09-11","+1-317-260-0766",549,1
"888124","Unknown","Midwest","jennifer.garcia856@mail.com","Bronze","2023-11-30","Invalid",12613,1
"578355","Barbara Lee","Southeast","Invalid","Silver","2021-12-11","+1-852-660-6658",1782,1
"196291","Elena Jackson","Northeast","Invalid","Bronze","2018-03-03","+1-884-621-8412",10840,1
"158669","Unknown","Midwest","sarah.smith452@mail.com","Bronze","2018-10-13","+1-172-415-2207",12083,1
"346636","Sarah Smith","Northeast","Invalid","Silver","2018-02-22","+1-276-083-9682",4809,""
"357593","Ahmed Chen","Southeast","ahmed.chen829@company.com","Gold","2020-03-07","+1-788-796-1181",11589,1
