customer_id,customer_name,sales_region,email,customer_tier,join_date,phone,loyalty_points,is_subscribed
538080,Karen Hernandez,West Coast,karen.hernandez601@company.com,Silver,2018-02-18,+1-959-247-4202,1927,1
839078,Raj Fernandez,Southwest,raj.fernandez197@work.org,Silver,2019-08-27,+1-404-702-5860,11858,1
671041,Patricia Jackson,Southwest,patricia.jackson325@gmail.com,Bronze,2022-01-10,+1-116-395-6988,11641,1
845800,Yuki Hernandez,northwest,yuki.hernandez82@company.com,Platinum,2019-07-24,+1-290-297-7757,8178,1
165227,Michael Martin,Midwest,michael.martin917@outlook.com,Platinum,2024-05-27,+1-611-740-5914,14306,0
663294,Ahmed Thomas,Southwest,,Bronze,2018-06-13,+1-324-101-2781,11764,1
963099,Charles Anderson,Midwest,charles.anderson495@gmail.com,Silver,2023-06-12,+1-652-159-2288,8953,0
590734,Ahmed Johnson,Midwest,ahmed.johnson125@icloud.com,Bronze,2018-08-17,+1-911-317-9781,9086,0
856746,Mei Taylor,Northeast,mei.taylor120@icloud.com,Bronze,2022-08-21,+1-814-360-6350,4253,1
343309,Fatima Davis,Midwest,fatima.davis701@outlook.com,Bronze,2019-11-28,+1-191-617-1318,3692,1
769270,Jessica Kim,Southeast,jessica.kim568@yahoo.com,Bronze,2022-05-26,+1-767-354-5477,3923,0
879170,Joseph Rossi,Midwest,joseph.rossi33@company.com,Gold,2021-11-15,+1-333-990-4978,3419,1
758441,Robert Hernandez,Southeast,robert.hernandez891@work.org,Bronze,2022-09-28,+1-921-338-0670,11337,0
774854,Susan Singh,Northeast,susan.singh150@outlook.com,Bronze,2023-09-10,+1-832-704-0730,7849,N
996725,Jessica Miller,Northeast,jessica.miller802@yahoo.com,Gold,2019-08-02,,14616,1
914273,John Chen,Northeast,john.chen128@gmail.com,Gold,2023-07-08,+1-579-025-8236,9485,0
859701,James Fernandez,Northeast,james.fernandez509@icloud.com,Silver,2021-03-23,+1-863-999-3746,1344,1
138946,Sarah Jackson,West Coast,sarah.jackson787@company.com,Gold,2019-03-27,+1-076-732-5108,13725,1
